code,title,description,durationMinutes,difficulty,healingScore,emotionalScore,historicalScore,trendyScore,embedding_text,distanceKm
C0001,숭례문-서촌,숭례문에서 출발해 서촌의 한옥 골목을 따라 여유롭게 달리는 코스로 도심 속 전통과 감성을 동시에 느낄 수 있습니다.,60,보통,6,8,9,4,서울 도심에서 전통과 감성을 동시에 느낄 수 있는 코스. 한옥 골목과 역사적인 장소를 포함하며 조용하고 감성적인 분위기를 선호하는 사용자에게 적합. 힐링과 역사 체험을 동시에 원하는 사람에게 추천.,
C0002,청계천-ddp,청계천을 따라 시원한 물길을 보며 달리다가 동대문디자인플라자까지 이어지는 코스로 야경과 도시의 활기를 함께 즐길 수 있습니다.,80,쉬움,7,8,3,9,도심 속 활기와 야경을 즐길 수 있는 트렌디한 코스. 청계천과 동대문디자인플라자를 포함하며 사진 촬영과 감성적인 분위기를 좋아하는 사용자에게 적합. 도시 야경과 감성 라이딩을 원하는 사람에게 추천.,
C0003,마포대교를 건너며 느끼는 여의도와 한강,마포대교를 건너며 한강의 넓은 풍경과 여의도의 스카이라인을 감상할 수 있는 코스로 탁 트인 뷰가 인상적입니다.,120,보통,8,7,2,5,한강과 도시 스카이라인을 감상할 수 있는 개방감 있는 코스. 넓은 풍경과 시원한 뷰를 좋아하며 힐링과 경치를 동시에 즐기고 싶은 사용자에게 적합. 여유로운 라이딩과 자연 풍경을 원하는 사람에게 추천.,
C0004,홍제천-경의선숲길,홍제천의 한적한 산책로를 따라 달린 뒤 경의선숲길의 감성적인 분위기를 즐길 수 있는 자연 친화적인 코스입니다.,60,상관없음,10,7,2,4,조용하고 자연 친화적인 힐링 코스. 산책로와 숲길을 따라 여유롭게 즐길 수 있으며 한적한 분위기와 휴식을 원하는 사용자에게 적합. 자연 속에서 힐링과 감성을 느끼고 싶은 사람에게 추천.,
C0005,올림픽공원-잠실한강공원,올림픽공원의 넓은 공원길을 지나 잠실 한강공원까지 이어지는 코스로 여유로운 라이딩과 한강의 풍경을 함께 즐길 수 있습니다.,120,상관없음,9,7,3,6,넓은 공원과 한강을 따라 여유롭게 즐기는 힐링 코스. 자연 풍경과 시원한 강변을 좋아하며 긴 거리의 여유로운 라이딩을 원하는 사용자에게 적합. 휴식과 운동을 동시에 원하는 사람에게 추천.,
C0006,성북동 힐링 역사 코스,조용한 사찰과 전통 정원을 따라가는 힐링 문화 탐방 코스,90,EASY,5,4,5,2,조용한 사찰과 전통 정원을 중심으로 한 역사 힐링 코스. 한적한 분위기와 문화유산을 함께 즐기고 싶은 사용자에게 적합. 힐링과 역사 탐방을 동시에 원하는 사람에게 추천.,
C0007,서촌 감성 문학 코스,문학과 전통시장이 어우러진 감성 골목 여행,70,EASY,4,5,3,4,문학과 전통시장이 어우러진 감성 코스. 골목 여행과 감성적인 분위기를 좋아하며 가볍게 즐기고 싶은 사용자에게 적합. 감성적인 산책과 문화 체험을 원하는 사람에게 추천.,
C0008,한양도성 성곽 코스,서울 성곽을 따라 걷는 역사 체험 코스,80,NORMAL,3,3,5,3,서울의 성곽을 따라 걷는 역사 중심 코스. 문화유산과 전통 건축에 관심이 많으며 역사 체험을 원하는 사용자에게 적합. 전통과 역사를 깊이 느끼고 싶은 사람에게 추천.,
C0009,용산 근대 역사 코스,독립운동과 전쟁 역사를 배우는 의미 있는 코스,100,NORMAL,2,3,5,2,근대 역사와 독립운동 관련 장소를 포함한 의미 있는 코스. 역사적 의미와 학습을 중요하게 생각하는 사용자에게 적합. 교육적 가치와 역사 탐방을 원하는 사람에게 추천.,
C0010,한강 선사 라이딩 코스,한강을 따라 선사시대 유적까지 이어지는 액티브 코스,120,NORMAL,4,3,4,3,한강을 따라 활동적으로 즐길 수 있는 라이딩 코스. 운동과 탐방을 동시에 즐기며 활동적인 경험을 원하는 사용자에게 적합. 액티브한 라이딩과 역사적 요소를 함께 원하는 사람에게 추천.,
